Id;Exp;Winitial;Wfinal
Sed_01_Fr1;E1;10.415;10.109
Sed_02_Fr1;E1;8.6483;8.3705
Sed_03_Fr1;E1;2.8993;2.8238
Sed_04_Fr1;E1;10.0154;9.751
Sed_05_Fr1;E1;8.5823;8.3252
Sed_01_Fr2;E2;11.4035;11.1573
Sed_02_Fr2;E2;17.458;16.9807
Sed_03_Fr2;E2;10.0947;9.8396
Sed_04_Fr2;E2;3.4649;3.3588
Sed_05_Fr2;E2;5.8278;5.5944
Sed_01_Fr3;E3;10.365;10.1303
Sed_02_Fr3;E3;9.5856;9.4305
Sed_03_Fr3;E3;12.1073;11.7947
Sed_04_Fr3;E3;15.6583;15.2536
Sed_05_Fr3;E3;16.2334;15.8363
Sed_01_Fr4;C;6.2335;5.9896
Sed_02_Fr4;C;4.6511;4.4853
Sed_03_Fr4;C;5.2691;5.066
Sed_04_Fr4;C;6.6317;6.3732
Sed_05_Fr4;C;4.4867;4.3554
