Id;Exp;StdC23;Splmass;C14.0iso;C14.0;C15.0iso;C15.0anteiso;C15.0;C16.0iso;C16.0;C16.1w7;C17.0iso;C17.0anteiso;C17.0;C18.0;C18.1w9;C18.1w7;C18.2w6;C19.0;C18.3w3;C18.4w3;C20.0;C20.1w9;C20.1w7;C20.2w6;C20.3w6;C21.0;C20.4w6;C20.5w3;C22.0;C22.1w11;C22.1w9;C23.0;C23.1w9;C22.5w6;C22.6w3;C24.1w9
BF_F01_Fr1;E2;30;71.9;6.63;33.44;28.61;9.59;11.8;10.38;98.21;42.05;13.96;6.25;12.65;59.17;56.34;52.87;21.89;14.06;9.48;5.86;17.76;84.3;4.78;16.83;2.22;13.51;149.26;89.35;5.31;5.57;20.5;73.28;40.78;8.91;11.28;12.68
BF_F01_Fr2;E1;30;64.3;16.71;66.04;66.98;22.06;20.56;23.41;162.19;107.51;31.09;11.64;22.23;111.08;91.94;117.9;47.76;22.73;19.11;18.17;36.02;158.36;8.41;33.57;5.75;21.43;267.83;193.13;8.68;10.51;24.92;67.72;63.75;13.09;25.97;18.08
BF_F01_Fr3;E3;30;68.4;10.51;37.61;42.92;12.59;15.69;17.71;192.12;52.44;19.13;10.41;18.95;70.25;53.88;68.33;25.38;22.48;9.56;6.33;30.52;145.58;7.61;26.11;6.35;21.32;336.17;167.14;10.17;6.35;22.96;54.63;73.66;15.95;12.26;21.96
BF_F02_Fr1;E2;30;69;13.02;58.75;56.51;18.03;17.17;20.37;220.84;86.66;24.49;11.63;19.48;117.92;164.06;100.71;76.94;23.99;20.64;12.63;38.01;175.85;10.72;32.61;5.48;23.51;304.82;202.35;11.73;11.84;26.21;90.93;84.26;13.6;26.35;27.37
BF_F02_Fr2;E1;30;74.8;19.35;75.57;42.65;29.34;22.19;22.44;585.59;102.12;28.73;31.74;34.56;410.71;86.02;120.91;70.34;46.04;21.99;9.61;70.33;291.09;33.61;76.96;11.48;28.48;805.05;306.45;22.43;25.01;70.23;57.04;132.43;32.36;13.07;61.16
BF_F03_Fr2;E1;30;67.1;16.28;73.17;66.45;20.4;21.99;23.71;230.1;120.03;29.73;11.14;24.24;138.7;152.49;128.01;66.79;31.6;22.39;21.59;44.53;178.97;12.3;40.88;6.89;25.68;305.47;247.52;8.18;13.39;32.45;87.99;87.36;15.2;30.4;24.56
BF_F04_Fr3;E3;30;70.6;22.57;83.95;88.74;26.96;33.66;31.93;213.15;110.75;38.87;13.73;26.78;125.09;110.7;133.73;44.86;27.3;22.89;16.89;38.29;144.56;9.66;26.35;6.08;24.39;296.12;182.45;10.09;7.83;26.13;70.13;64.35;17.37;23.13;21.81
BF_F04_Fr4;C;30;74.3;15.94;95.07;47.77;16.18;20.96;22.32;217.24;111.17;16.93;8.49;21.15;108.65;46.64;75.25;26.38;23.41;13.79;37.6;37.2;147.8;7.24;20.98;18.54;21.37;399.96;186.59;12.12;4.93;24.6;68.86;64.82;25.45;19.91;20.7
BF_F04_Ma4;Wi;30;70.5;5.26;29.18;16.11;5.68;6.12;6.64;105.12;35.67;5.97;4.68;8.5;63.97;48.91;41.33;18.32;14.62;14.51;22.66;24.18;97.62;5.23;18.67;5.67;12.67;192.56;142.42;5.35;5.03;18.47;59.39;49.14;6.98;6.5;13.14
BF_F05_Fr3;E3;30;67.9;20.85;83.7;80.93;25.26;28.7;28.95;335.86;120.91;34.4;13.34;25.46;161.51;142.36;112.28;70.31;25.97;23.81;20.89;40.17;165.89;8.89;28.7;6.75;22.28;310.08;210.08;10.44;7.64;24.51;57.58;66.62;19.7;24.44;24.07
BF_F06_Fr1;E2;30;73.4;18.97;79.06;83.58;30.49;28.97;29.14;237.96;107.93;38.83;16.19;30.77;128.8;139.04;158.6;60.88;30.32;20.09;11.12;46.23;223.13;11.6;41.89;6.11;34.88;404.9;239.87;12.6;13.93;32.11;67.52;98.73;19.17;30.63;33.2
BF_F07_Ma4;Wi;30;67.9;5.99;40.34;22.59;7.63;10.12;11.32;145.22;61.24;8.88;6.08;10.81;78.92;66.33;43.23;30.21;14.6;11.19;20.73;29.62;125.57;5;19.49;5.24;17.09;236.34;168.42;7.26;6.09;19.3;69.66;55.21;10.83;10.78;19.02
BF_F08_Ma3;Wo;30;74.2;4.66;36.39;13.16;5.6;11.04;7.15;172.87;25.88;5.64;10.68;10.51;63.43;62.78;37.9;16.85;14.93;5.01;7.74;25.04;109.39;4.58;14.51;13.7;15.14;281.71;100.97;7.97;3.59;19.39;53.32;49.47;12.06;5.76;12.68
BF_F10_Fr4;C;30;67.5;7.79;63.55;23.43;9.01;17.02;12.27;192.6;59.76;10.54;6.54;15.31;111.65;130.08;71.65;31.29;20.51;13.06;24.22;33.51;143.31;6.97;18.17;11.92;20.18;353.44;153.29;9.64;5.68;29.96;95.67;70.96;18.71;15.43;22.79
BF_M01_Fr4;C;30;71.2;6.93;45.46;21.08;8.01;12.69;9.99;96.65;51.97;9.08;5.32;10.66;67.75;53.19;59.18;15.7;16.5;10.64;23.61;27.83;108.08;5.36;13.23;8.77;17.73;258.02;125.64;7.26;5.13;20.32;62.1;58.24;12.21;10.84;14.9
BF_M11_Ma3;Wo;30;74.7;3.74;31.07;9.96;3.72;7.53;5.95;160.77;27.34;4.34;5.2;9.08;120.93;43.96;33.03;17.74;12.63;6.08;10.45;24.24;103.34;4.35;12.82;6.86;15.42;250.33;95.6;6.06;4.92;19.68;63.62;50.38;10.07;6.81;14.82
BF_M02_Fr3;E3;30;63;17.23;68.64;70.56;21.68;25.39;26;230.07;97.81;30.95;12.84;23.07;104.04;90.7;108.05;46.63;24.64;18.93;15.72;37.94;175.11;9.26;30.35;6.36;24.27;349.04;214.2;10.43;8.19;29.41;72.51;76.43;18.15;23.95;27.5
BF_M02_Ma4;Wi;30;66.9;7.5;47.54;26.52;9.01;9.45;11.52;93.36;58.35;11.29;6.35;12.74;80.7;39.03;57.12;15.17;18.46;16.77;26.86;30.01;102.92;5.68;19.11;5.08;16.5;203.55;151.86;5.27;5.46;17.72;55.14;48.81;10.41;8.83;12.33
BF_M12_Ma3;Wo;30;71.6;3.08;21.58;10.44;4.01;5.34;4.61;75.56;26.41;4.09;3.52;6.55;49.75;56.98;28.68;17.91;9.43;4.04;9.07;15.18;72.32;3.17;8.6;7.13;10.16;174.27;70.63;4.92;2.61;11.26;51.13;35.02;7.28;5.6;9.76
BF_M03_Fr1;E2;30;70.1;12.51;56.13;53.06;18.17;16.72;21.13;213.65;97.85;23.68;12.24;26.86;129.62;110.45;105.93;57.57;36.44;19.72;14.35;49.77;227.81;11.69;44.15;7.5;27.66;376.86;254.29;10.63;14.92;36.11;77.14;110.76;17.68;27.09;30.4
BF_M03_Fr3;E3;30;72.2;21.87;97.57;87.32;26.14;34.91;32.49;255.85;128.49;40.64;14.63;32.48;151.15;103.67;148.31;57.85;36.9;22.69;21.15;58.44;230.11;11.6;43.4;9.07;37.63;449.21;273.77;14.66;12.47;46.51;100.8;115.54;24.82;33.26;41.84
BF_M03_Ma4;Wi;30;63.8;6.92;47.26;22.95;7.66;8.57;9.36;128.2;50.2;8.3;2.1;10.51;81.6;54.08;57.27;22.51;16.24;23.16;35.79;30.27;104.06;4.5;24.62;6.12;22.28;207.45;144.72;9.12;4.4;17.83;50.1;13.23;6.93;8.89;20.75
BF_M04_Fr1;E2;30;73.9;8.77;40.65;37.43;13.3;13.84;13.84;139.66;50.66;14.89;8.72;13.02;61.64;91.89;72.33;31.57;12.23;11.11;5.24;18.23;97.19;7;17.8;2.71;12.57;182.69;101.16;5.72;6.01;13.88;53.41;45.03;6.93;10.16;13.65
BF_M04_Fr2;E1;30;70.7;7.49;36.91;28.78;10.22;9.53;9.89;107.6;48.77;11.86;7.12;11.97;59.36;89.26;61.1;33.47;12.43;9.67;8.41;20.74;100.42;5.01;20.36;3.09;12.83;183.05;113.44;5.36;5.31;13.88;41.13;42.15;7.49;9.79;14.2
BF_M04_Ma3;Wo;30;75.7;5.07;37.82;13.82;5.56;10.95;6.74;168.05;41.67;4.98;6.84;8.92;61.65;50.99;33.72;18.16;14.6;5.98;6.38;23.51;94.45;4.26;12.53;4.57;15.11;244.43;99.76;6.74;3.4;12.53;51.38;48.35;10.11;4.9;11.95
BF_M14_Ma3;Wo;30;71;7.5;61.9;20.11;7.33;14.51;10.95;233.59;59.69;7.94;6.65;14.02;91.43;44.24;52.88;20.29;20.97;10.42;31.22;36.23;156.15;5.78;23.02;27.58;24.29;368.36;176.54;13.45;4.91;24.22;55.58;70.5;26.26;17.79;21.08
BF_M05_Fr1;E2;30;72.2;22.96;87.74;104.49;30.5;35.25;35.7;323.67;123.95;46.33;16.91;27.58;131.51;131.25;163.99;69.99;29.9;38.13;9.18;46.45;205.84;13.18;41.65;6.9;27.52;411.51;243.92;15.54;14.06;33.55;57.94;88.3;19.04;31.29;30.76
BF_M05_Fr2;E1;30;63.7;24.44;83.16;100.26;28.74;31.5;34.44;218.62;130.99;43.37;14.79;25.96;126.96;118.89;146.7;57.04;25.94;26.11;17.67;35.77;150.13;10.9;32.66;5.67;17.86;267.12;182.12;9.67;9.34;22.99;58.15;57.04;14.44;29.35;22.6
BF_M05_Fr4;C;30;69.6;4.7;37.85;14.03;6.85;14.84;6.8;110.1;30.89;5.55;8.88;10.61;61.95;60.85;51.55;16.73;13.23;6.89;12.54;30.85;118.17;4.24;18.54;9.52;16.13;306.26;103.67;8.04;4.74;20.83;57.38;57.81;17.2;6.64;15.97
