Id;Exp;Splmass;15N ;13C 
MF_F01_Fr1;E2;2;10.22935301;-18.00342035
MF_F02_Fr1;E2;2.6;10.72850441;-17.7252139
MF_F06_Fr1;E2;1.5;8.994049319;-18.09419467
MF_M03_Fr1;E2;1.5;10.3435954;-17.60204989
MF_M04_Fr1;E2;1.9;9.926546097;-18.53432069
MF_M05_Fr1;E2;1.4;8.08820989;-17.97905094
MT_M03_Fr1;E2;1.2;9.897592341;-17.53290495
MT_M04_Fr1;E2;1.8;6.855460906;-19.27902849
MT_U01_Fr1;E2;2.8;10.02804887;-17.78950059
MT_U02_Fr1;E2;2.2;9.514035714;-17.93417534
MT_U05_Fr1;E2;1;6.827650567;-18.49274921
MT_U06_Fr1;E2;1.9;8.54265223;-18.25333969
HT_M03_Fr1;E2;1.9;9.137827473;-13.89668595
HT_M04_Fr1;E2;1.9;6.524394723;-16.92539931
HT_U01_Fr1;E2;1.1;8.619419568;-15.35418263
HT_U02_Fr1;E2;1.3;8.691845406;-14.01219275
HT_U05_Fr1;E2;1.6;6.202843715;-14.45691307
HT_U06_Fr1;E2;2;7.295456295;-15.11007058
BF_F01_Fr1;E2;1.2;9.944771581;-15.78871329
BF_F02_Fr1;E2;1.1;10.73313659;-15.80691537
BF_F06_Fr1;E2;1.6;7.856397123;-15.30862218
BF_M03_Fr1;E2;1.1;9.982360198;-15.3075101
BF_M04_Fr1;E2;1.8;9.592821658;-15.68193484
BF_M05_Fr1;E2;1.7;8.287512996;-16.22561082
MF_F01_Fr2;E1;1.7;10.92389684;-17.50752159
MF_F02_Fr2;E1;2;10.81809583;-17.65493206
MF_F03_Fr2;E1;2.6;10.63057391;-17.32532909
MF_M04_Fr2;E1;1.7;10.15966367;-17.73942026
MF_M05_Fr2;E1;2;8.428501341;-17.86048519
MF_M06_Fr2;E1;1.9;8.548779183;-17.96640445
MT_F05_Fr2;E1;1.5;7.646655495;-17.71739038
MT_F06_Fr2;E1;1.1;8.552241579;-17.55996748
MT_M01_Fr2;E1;2.2;10.00980851;-18.18007668
MT_M03_Fr2;E1;1.8;10.32067181;-17.94333198
MT_U02_Fr2;E1;1;9.973257751;-17.4219143
MT_U04_Fr2;E1;1.2;8.531292378;-17.79772287
HT_F05_Fr2;E1;1.5;6.805551012;-14.86145262
HT_F06_Fr2;E1;2.2;7.02308314;-12.551613
HT_M01_Fr2;E1;1.2;9.165680896;-14.71771698
HT_M03_Fr2;E1;1.2;9.207139148;-15.28345283
HT_U02_Fr2;E1;1.7;8.743827938;-14.70775823
HT_U04_Fr2;E1;1.7;7.626227591;-14.46697191
BF_F01_Fr2;E1;1.5;10.06445964;-16.0205303
BF_F02_Fr2;E1;1.6;10.07840772;-15.60302674
BF_F03_Fr2;E1;1.7;10.26281634;-15.36081219
BF_M04_Fr2;E1;1.4;10.22223913;-15.28734608
BF_M05_Fr2;E1;1.5;8.100637445;-15.51833682
MF_F01_Fr3;E3;1.6;10.72682009;-17.97040492
MF_F04_Fr3;E3;1.6;10.07414981;-18.32201979
MF_F05_Fr3;E3;1.6;8.643713459;-17.72682592
MF_M02_Fr3;E3;1.5;10.72040304;-17.95443846
MF_M03_Fr3;E3;2.7;10.76209925;-17.31802802
MF_M06_Fr3;E3;1.7;9.138790565;-18.06910827
MT_U01_Fr3;E3;1.9;9.935977617;-17.62733696
MT_U03_Fr3;E3;1.3;9.710721193;-17.03700558
MT_U04_Fr3;E3;1.7;8.190813271;-17.14622648
MT_U05_Fr3;E3;2.3;7.658641466;-17.44439152
MT_U06_Fr3;E3;1.5;8.56672638;-16.81656602
HT_U01_Fr3;E3;1.4;8.691043714;-14.32153578
HT_U02_Fr3;E3;1.4;9.129274488;-14.40053689
HT_U03_Fr3;E3;0.9;9.277722473;-15.03535196
HT_U04_Fr3;E3;1.2;8.147120346;-14.54320303
HT_U05_Fr3;E3;1.4;6.997617706;-13.80454972
HT_U06_Fr3;E3;1.2;6.803048978;-14.16985477
BF_F01_Fr3;E3;1.8;10.12187153;-15.96720848
BF_F04_Fr3;E3;1.7;9.420790819;-16.32343283
BF_F05_Fr3;E3;1.4;6.92908365;-16.70887521
BF_M02_Fr3;E3;1.1;8.676753331;-16.03276517
BF_M03_Fr3;E3;1.6;9.725694835;-15.86599501
BF_M06_Fr3;E3;1.5;7.345963107;-15.60986998
MF_F04_Fr4;C;2.1;9.751544019;-18.29608955
MF_F08_Ma3;Wo;1.9;8.325919603;-18.18554204
MF_F10_Fr4;C;1.4;9.093768343;-18.84148437
MF_M01_Fr4;C;1.9;10.43633383;-17.27199363
MF_M05_Fr4;C;2.2;8.256413158;-17.72069075
MF_M06_Fr4;C;2.2;8.134730295;-18.65801287
MF_U03_Fr4;C;1.4;10.95095222;-18.34910241
MT_M01_Fr4;C;1.4;10.34763975;-18.14542965
MT_M03_Fr4;C;0.8;10.20688619;-17.44021016
MT_U02_Fr4;C;1.9;9.591410426;-18.48985934
MT_U04_Fr4;C;2;8.687178722;-17.61925956
MT_U05_Fr4;C;1.3;7.503596105;-18.91614061
MT_U06_Fr4;C;1.9;8.715460746;-18.35969137
HT_M01_Fr4;C;1.9;8.68294237;-13.16157534
HT_M03_Fr4;C;1.5;8.277210451;-15.5206665
HT_U02_Fr4;C;1.6;8.21903403;-14.72175526
HT_U04_Fr4;C;2.1;7.856540422;-14.52630553
HT_U05_Fr4;C;1.4;6.849659312;-15.09164215
HT_U06_Fr4;C;1.2;8.173679521;-15.87578702
BF_F04_Fr4;C;1.7;8.339746692;-16.11453161
BF_F08_Ma3;Wo;1.2;7.148546333;-16.18962615
BF_F10_Fr4;C;1.5;7.981081256;-16.64102188
BF_M01_Fr4;C;1.5;9.606953127;-15.19860673
BF_M05_Fr4;C;1.4;8.31711784;-15.84136937
BF_M06_Fr4;C;1.4;7.896252467;-16.17241069
BF_U03_Fr4;C;1.3;9.910022976;-15.63061262
Fec_01_Ma2;Ma2;1.4;7.452563667;-22.55458302
Fec_03_Ma2;Ma2;2.1;6.61047775;-20.74590829
Flot5_Ma2;Ma2;1.9;9.75609586;-22.88652049
MF_M04_Ma3;Wo;2.2;8.376435213;-18.13846889
MF_U01_Ma3;Wo;1.3;8.766204613;-18.77699439
MT_F01_Ma3;Wo;2.3;7.639606749;-17.81283714
MT_F02_Ma3;Wo;1.6;6.868483489;-18.45435336
MT_M03_Ma3;Wo;1.5;7.363353822;-18.24015666
MT_M04_Ma3;Wo;2.7;6.029936134;-17.10843196
MT_U05_Ma3;Wo;1.5;4.236963512;-19.01468334
MT_U06_Ma3;Wo;2.5;4.768594241;-18.26912161
Fec_01_Ma3;Ma3;1.2;5.962416681;-20.92423121
Fec_02_Ma3;Ma3;2.1;8.048859098;-22.23906719
Fec_03_Ma3;Ma3;1.9;4.67573535;-21.90098888
Flot5_Ma3;Ma3;1.4;9.511378685;-22.69866469
HT_F01_Ma3;Wo;1.8;8.08248045;-13.87585066
HT_F02_Ma3;Wo;1.6;7.017762299;-15.34745574
HT_M03_Ma3;Wo;1.4;6.909630144;-14.85973731
HT_M04_Ma3;Wo;1.9;5.091928849;-14.91554848
HT_U05_Ma3;Wo;1.2;4.255192673;-15.95789806
HT_U06_Ma3;Wo;2;5.117162354;-15.25356525
BF_M04_Ma3;Wo;1.6;7.138360365;-15.96417685
BF_U01_Ma3;Wo;1.1;7.086155552;-16.37017558
MF_F04_Ma4;Wi;2.8;9.995483696;-17.27245772
MF_F07_Ma4;Wi;2.5;8.8046084;-17.36147931
MF_M02_Ma4;Wi;1.8;11.06307327;-16.54471972
MF_M03_Ma4;Wi;2.2;10.83477266;-16.41916195
MF_M05_Ma4;Wi;1.5;8.825376156;-16.45690936
MF_U01_Ma4;Wi;1.8;10.88508468;-16.56319257
MT_F02_Ma4;Wi;2.2;9.555957146;-19.22606362
MT_F03_Ma4;Wi;2.8;9.861343637;-16.99094359
MT_F05_Ma4;Wi;2.2;7.89999685;-18.40748582
MT_F06_Ma4;Wi;2;8.290633679;-18.00917629
MT_M01_Ma4;Wi;2.8;10.12332831;-18.52278404
MT_M04_Ma4;Wi;2.4;8.588744097;-17.98472871
HT_F02_Ma4;Wi;1.1;8.976872857;-14.91893319
HT_F03_Ma4;Wi;1.2;8.987444248;-14.12039964
HT_F05_Ma4;Wi;2;7.01202337;-16.10622442
HT_F06_Ma4;Wi;1;7.960108504;-15.19444436
HT_M01_Ma4;Wi;1.7;8.252245269;-14.6013086
HT_M04_Ma4;Wi;1.8;7.745928746;-15.81021726
BF_F04_Ma4;Wi;2;10.02237612;-14.84190997
BF_F07_Ma4;Wi;1.3;7.405552874;-15.05324533
BF_M02_Ma4;Wi;1.5;10.45020561;-15.14524051
BF_M03_Ma4;Wi;1.7;9.839828774;-14.51741496
BF_M05_Ma4;Wi;1.4;8.420590355;-14.96930301
BF_U01_Ma4;Wi;1.7;10.22050618;-14.758379
MF_M11_Ma3;Wo;1.4;10.64843463;-18.227109
MF_M12_Ma3;Wo;1.6;10.30131917;-17.93151311
MF_M14_Ma3;Wo;2.3;8.428972749;-17.54275841
BF_M11_Ma3;Wo;1.8;9.479105414;-15.67890135
BF_M12_Ma3;Wo;1.3;9.869521546;-15.24854185
BF_M14_Ma3;Wo;1.5;7.66614841;-15.54607996
