Date;Site;Exp;Sp;Mass
16/11/21;Fr1;E2;Htub;248
16/11/21;Fr1;E2;Htub;325
16/11/21;Fr1;E2;Htub;305
16/11/21;Fr1;E2;Htub;190
16/11/21;Fr1;E2;Htub;118
16/11/21;Fr1;E2;Htub;302
16/11/21;Fr1;E2;Htub;205
16/11/21;Fr1;E2;Htub;248
16/11/21;Fr1;E2;Htub;150
16/11/21;Fr1;E2;Htub;454
16/11/21;Fr1;E2;Htub;306
16/11/21;Fr1;E2;Htub;300
16/11/21;Fr2;E1;Htub;227
16/11/21;Fr2;E1;Htub;150
16/11/21;Fr2;E1;Htub;406
16/11/21;Fr2;E1;Htub;371
16/11/21;Fr2;E1;Htub;132
16/11/21;Fr2;E1;Htub;243
16/11/21;Fr2;E1;Htub;171
16/11/21;Fr2;E1;Htub;228
16/11/21;Fr2;E1;Htub;206
16/11/21;Fr2;E1;Htub;216
16/11/21;Fr2;E1;Htub;223
16/11/21;Fr2;E1;Htub;136
16/11/21;Fr3;E3;Htub;393
16/11/21;Fr3;E3;Htub;98
16/11/21;Fr3;E3;Htub;153
16/11/21;Fr3;E3;Htub;110
16/11/21;Fr3;E3;Htub;375
16/11/21;Fr3;E3;Htub;425
16/11/21;Fr3;E3;Htub;326
16/11/21;Fr3;E3;Htub;343
16/11/21;Fr3;E3;Htub;275
16/11/21;Fr3;E3;Htub;338
16/11/21;Fr3;E3;Htub;328
16/11/21;Fr3;E3;Htub;278
16/11/21;Fr4;C;Htub;454
16/11/21;Fr4;C;Htub;383
16/11/21;Fr4;C;Htub;181
16/11/21;Fr4;C;Htub;170
16/11/21;Fr4;C;Htub;284
16/11/21;Fr4;C;Htub;280
16/11/21;Fr4;C;Htub;176
16/11/21;Fr4;C;Htub;248
16/11/21;Fr4;C;Htub;222
16/11/21;Fr4;C;Htub;117
16/11/21;Fr4;C;Htub;90
16/11/21;Fr4;C;Htub;309
16/11/21;Fr1;E2;Hfor;89
16/11/21;Fr1;E2;Hfor;116
16/11/21;Fr1;E2;Hfor;114
16/11/21;Fr1;E2;Hfor;65
16/11/21;Fr1;E2;Hfor;68
16/11/21;Fr1;E2;Hfor;111
16/11/21;Fr1;E2;Hfor;86
16/11/21;Fr1;E2;Hfor;105
16/11/21;Fr1;E2;Hfor;97
16/11/21;Fr1;E2;Hfor;122
16/11/21;Fr1;E2;Hfor;111
16/11/21;Fr1;E2;Hfor;115
16/11/21;Fr2;E1;Hfor;89
16/11/21;Fr2;E1;Hfor;121
16/11/21;Fr2;E1;Hfor;99
16/11/21;Fr2;E1;Hfor;90
16/11/21;Fr2;E1;Hfor;96
16/11/21;Fr2;E1;Hfor;127
16/11/21;Fr2;E1;Hfor;109
16/11/21;Fr2;E1;Hfor;78
16/11/21;Fr2;E1;Hfor;75
16/11/21;Fr2;E1;Hfor;77
16/11/21;Fr2;E1;Hfor;117
16/11/21;Fr2;E1;Hfor;90
16/11/21;Fr3;E3;Hfor;87
16/11/21;Fr3;E3;Hfor;114
16/11/21;Fr3;E3;Hfor;105
16/11/21;Fr3;E3;Hfor;87
16/11/21;Fr3;E3;Hfor;90
16/11/21;Fr3;E3;Hfor;114
16/11/21;Fr3;E3;Hfor;124
16/11/21;Fr3;E3;Hfor;87
16/11/21;Fr3;E3;Hfor;83
16/11/21;Fr3;E3;Hfor;95
16/11/21;Fr3;E3;Hfor;105
16/11/21;Fr3;E3;Hfor;90
16/11/21;Fr4;C;Hfor;106
16/11/21;Fr4;C;Hfor;118
16/11/21;Fr4;C;Hfor;81
16/11/21;Fr4;C;Hfor;102
16/11/21;Fr4;C;Hfor;94
16/11/21;Fr4;C;Hfor;89
16/11/21;Fr4;C;Hfor;92
